id,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,favorited,retweeted
1250671161840713730,False,0,0,0,0,False,False
1250671650158379008,False,0,0,0,0,False,False
1250671655531065344,False,0,0,0,0,False,False
1250672431095840770,False,0,0,0,0,False,False
1250675264302039041,False,0,0,0,0,False,False
1250677559081218049,False,0,0,0,0,False,False
1250677828699521024,False,0,0,0,0,False,False
1250677859682836481,False,0,0,0,0,False,False
1250678020572135426,False,0,0,0,0,False,False
1250678531178270723,False,0,0,0,0,False,False
1250678670244622340,False,0,0,0,0,False,False
1250680306031525888,False,0,0,0,0,False,False
1250680616754044928,False,0,0,0,0,False,False
1250680942995398656,False,0,0,0,0,False,False
1250683487964798978,False,0,0,0,0,False,False
1250684613690904576,False,0,0,0,0,False,False
1250685113341542400,False,0,0,0,0,False,False
1250685394766700544,False,0,0,0,0,False,False
1250686289067692032,False,0,0,0,0,False,False
1250687811382059010,True,0,0,0,0,False,False
1250688006840897536,False,0,0,0,0,False,False
1250688423368830976,False,0,0,0,0,False,False
1250689272153141252,False,0,0,0,0,False,False
1250689501766303746,False,0,0,0,0,False,False
1250689735103823872,False,0,0,0,0,False,False
1250691333410426881,False,0,0,0,0,False,False
1250691824915828736,False,0,0,0,0,False,False
1250691856339472385,False,0,0,0,0,False,False
1250693144301240320,False,0,0,0,0,False,False
1250696675955441664,False,0,0,0,0,False,False
1250696838098944000,False,0,0,0,0,False,False
1250697413234356224,False,0,0,0,0,False,False
1250699145918152704,False,0,0,0,0,False,False
1250700910398976001,False,0,0,0,0,False,False
1250700933878747136,False,0,0,0,0,False,False
1250702225283911681,False,0,0,0,0,False,False
1250703624872869888,False,0,0,0,0,False,False
1250704413506916352,False,0,0,0,0,False,False
1250704462827737088,False,0,0,0,0,False,False
1250705412250382336,False,0,0,0,0,False,False
1250705639690719232,False,0,0,0,0,False,False
1250708884848807938,False,0,0,0,0,False,False
1250709340333518848,False,0,0,0,0,False,False
1250709843310149632,False,0,0,0,0,False,False
1250709944673996800,False,0,0,0,0,False,False
1250710048759840768,False,0,0,0,0,False,False
1250711476710539271,False,0,0,0,0,False,False
1250711994220642307,False,0,0,0,0,False,False
1250713050652565504,False,0,0,0,0,False,False
1250714624493838336,False,0,0,0,0,False,False
1250714771932024832,False,0,0,0,0,False,False
1250716828906725381,False,0,0,0,0,False,False
1250717082737672196,False,0,0,0,0,False,False
1250718916063756288,False,0,0,0,0,False,False
1250719235522822144,False,0,0,0,0,False,False
1250719700897718272,False,0,0,0,0,False,False
1250720690057154561,False,0,0,0,0,False,False
1250720795493531653,False,0,0,0,0,False,False
1250720837637988353,False,0,0,0,0,False,False
1250722215454289920,False,0,0,0,0,False,False
1250722773867118592,False,0,0,0,0,False,False
1250723207839191040,False,0,0,0,0,False,False
1250726155331817473,False,0,0,0,0,False,False
1250726188160634880,False,0,0,0,0,False,False
1250726391513038848,False,0,0,0,0,False,False
1250726760733442054,False,0,0,0,0,False,False
1250726845932339200,False,0,0,0,0,False,False
1250727112463585281,False,0,0,0,0,False,False
1250730086363475969,True,0,0,0,0,False,False
1250730441688170496,False,0,0,0,0,False,False
1250731013782855680,False,0,0,0,0,False,False
1250731852048019458,False,0,0,0,0,False,False
1250732025394466817,False,0,0,0,0,False,False
1250732031207759872,False,0,0,0,0,False,False
1250732678384680960,False,0,0,0,0,False,False
1250732888531836929,False,0,0,0,0,False,False
1250734122479300614,False,0,0,0,0,False,False
1250734268814426112,False,0,0,0,0,False,False
1250734928544829441,False,0,0,0,0,False,False
1250735383941349378,False,0,0,0,0,False,False
1250735965884289026,False,0,0,0,0,False,False
1250738182225891330,False,0,0,0,0,False,False
1250738202589237248,False,0,0,0,0,False,False
1250739591381909504,False,0,0,0,0,False,False
1250739731513606145,False,0,0,0,0,False,False
1250739746948644864,False,0,0,0,0,False,False
1250739868096921600,False,0,0,0,0,False,False
1250740176424402944,False,0,0,0,0,False,False
1250741561580826624,False,0,0,0,0,False,False
1250741700332568579,False,0,0,0,0,False,False
1250741760055279618,False,0,0,0,0,False,False
1250742191040991233,False,0,0,0,0,False,False
1250742959684927489,False,0,0,0,0,False,False
1250743072993865728,False,0,0,0,0,False,False
1250743300438589440,False,0,0,0,0,False,False
1250743403337351170,False,0,0,0,0,False,False
